uniprot_id,ec_number,name,gene_symbol,organism,pdb_ids,molecular_weight,subunit_structure,sequence_length,ensembl_id
P08253,3.4.24.24,72 kDa type IV collagenase (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX],MMP2,Homo sapiens,1CK7;1CXW;1EAK;1GEN;1GXD;1HOV;1J7M;1KS0;1QIB;1RTG;3AYU;7XGJ;7XJO;8H78,73882,Interacts (via the C-terminal hemopexin-like domains-containing region) with the integrin alpha-V/beta-3; the interaction promotes vascular invasion in angiogenic vessels and melamoma cells. Interacts (via the C-terminal PEX domain) with TIMP2 (via the C-terminal); the interaction inhibits the degradation activity. Interacts with GSK3B,660,ENSG00000087245
P08922,2.7.10.1,Proto-oncogene tyrosine-protein kinase ROS (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase),ROS1,Homo sapiens,3ZBF;4UXL;7Z5W;7Z5X;9QEK,263915,Interacts with PTPN6 (via SH2 1 domain); the interaction is direct and promotes ROS1 dephosphorylation (By similarity). Interacts with PTPN11; may activate the PI3 kinase-mTOR signaling pathway (PubMed:16885344). Interacts with VAV3; constitutive interaction mediating VAV3 phosphorylation (PubMed:11094073),2347,ENSG00000047936
P09884,2.7.7.7,DNA polymerase alpha catalytic subunit (DNA polymerase alpha catalytic subunit p180),POLA1,Homo sapiens,1K0P;1K18;1N5G;4Q5V;4QCL;4Y97;5EXR;5IUD;6AS7;7N2M;7OPL;7U5C;8B9D;8D0B;8D0K;8D96;8D9D;8QJ7;8VY3;9C8V;9MJ5,165913,"Component of the alpha DNA polymerase complex (also known as the alpha DNA polymerase-primase complex) consisting of four subunits: the catalytic subunit POLA1, the regulatory subunit POLA2, and the primase complex subunits PRIM1 and PRIM2 respectively (PubMed:26975377, PubMed:9705292). Interacts with PARP1; this interaction functions as part of the control of replication fork progression (PubMed:9518481). Interacts with MCM10 and WDHD1; these interactions recruit the polymerase alpha complex to",1462,ENSG00000101868
P10721,2.7.10.1,Mast/stem cell growth factor receptor Kit (SCFR) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117),KIT,Homo sapiens,1PKG;1T45;1T46;2E9W;2EC8;2IUH;2VIF;3G0E;3G0F;4HVS;4K94;4K9E;4PGZ;4U0I;6GQJ;6GQK;6GQL;6GQM;6HH1;6ITT;6ITV;6KLA;6MOB;6XV9;6XVA;6XVB;7KHG;7KHJ;7KHK;7ZW8;7ZY6;8DFM;8DFP;8DFQ;8PQ9;8PQA;8PQB;8PQC;8PQD;8PQE;8PQF;8PQG;8S13;8S14;8S15;8S16;8S17;8S18;8S19;8S1A,109865,"Monomer in the absence of bound KITLG/SCF. Homodimer in the presence of bound KITLG/SCF, forming a heterotetramer with two KITLG/SCF molecules. Interacts (via phosphorylated tyrosine residues) with the adapter proteins GRB2 and GRB7 (via SH2 domain), and SH2B2/APS. Interacts (via C-terminus) with MPDZ (via the tenth PDZ domain). Interacts (via phosphorylated tyrosine residues) with PIK3R1 and PIK3 catalytic subunit. Interacts (via phosphorylated tyrosine) with CRK (isoform Crk-II), FYN, SHC1 and",976,ENSG00000157404
P11766,1.1.1.1,Alcohol dehydrogenase class-3 (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (S-(hydroxymethyl)glutathione dehydrogenase),ADH5,Homo sapiens,1M6H;1M6W;1MA0;1MC5;1MP0;1TEH;2FZE;2FZW;3QJ5;8GV3,39724,Homodimer,374,ENSG00000197894
P16234,2.7.10.1,Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived grow,PDGFRA,Homo sapiens,1GQ5;5GRN;5K5X;6A32;6JOI;6JOJ;6JOK;6JOL;7LBF;7RAM;8PQH;8PQI;8PQJ;8PQK;9GZH,122670,"Interacts with homodimeric PDGFA, PDGFB and PDGFC, and with heterodimers formed by PDGFA and PDGFB. Monomer in the absence of bound ligand. Interaction with dimeric PDGFA, PDGFB and/or PDGFC leads to receptor dimerization, where both PDGFRA homodimers and heterodimers with PDGFRB are observed. Interacts (tyrosine phosphorylated) with SHB (via SH2 domain) (By similarity). Interacts (tyrosine phosphorylated) with SHF (via SH2 domain). Interacts (tyrosine phosphorylated) with SRC (via SH2 domain). ",1089,ENSG00000134853
P16615,7.2.2.10,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A2,Homo sapiens,5ZTF;6JJU;6LLE;6LLY;6LN5;6LN6;6LN7;6LN8;6LN9;7BT2;7E7S;7W7T;7W7U;7W7V;7W7W,114757,"Interacts with sarcolipin (SLN); the interaction inhibits ATP2A2 Ca(2+) affinity (PubMed:28890335). Interacts with phospholamban (PLN); the interaction inhibits ATP2A2 Ca(2+) affinity (PubMed:28890335, PubMed:36523160). Interacts with myoregulin (MRLN) (By similarity). Interacts with ARLN and ERLN; the interactions inhibit ATP2A2 Ca(2+) affinity (By similarity). Interacts with STRIT1/DWORF; the interaction results in activation of ATP2A2 (PubMed:33581112, PubMed:36523160). Interacts with the mon",1042,ENSG00000174437
P19099,1.14.15.4,"Cytochrome P450 11B2, mitochondrial (Aldosterone synthase) (ALDOS) (Aldosterone-synthesizing enzyme) (CYPXIB2) (Corticosterone 18-monooxygenase, CYP11B2) (Cytochrome P-450Aldo) (Cytochrome P-450C18) (Steroid 11-beta-hydroxylase, CYP11B2) (Steroid 18-hydroxylase)",CYP11B2,Homo sapiens,4DVQ;4FDH;4ZGX;6XZ8;6XZ9;7M8I;7M8V,57560,,503,ENSG00000179142
P21589,3.1.3.35,5'-nucleotidase (5'-NT)     (5'-deoxynucleotidase) (Ecto-5'-nucleotidase) (IMP-specific 5'-nucleotidase) (Thymidylate 5'-phosphatase) (CD antigen CD73),NT5E,Homo sapiens,4H1S;4H1Y;4H2B;4H2F;4H2G;4H2I;6HXW;6S7F;6S7H;6TVE;6TVG;6TVX;6TW0;6TWA;6TWF;6VC9;6VCA;6XUE;6XUG;6XUQ;6YE1;6YE2;6Z9B;6Z9D;7BBJ;7JV8;7JV9;7P9N;7P9R;7P9T;7PA4;7PB5;7PBA;7PBB;7PBY;7PCP;7PD9;7QGA;7QGL;7QGM;7QGO;8ZNZ;9HJ4;9HJG;9I1H,63368,Homodimer,574,ENSG00000135318
P21860,2.7.10.1,Receptor tyrosine-protein kinase erbB-3 (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3),ERBB3,Homo sapiens,1M6B;2L9U;3KEX;3LMG;3P11;4LEO;4P59;4RIW;4RIX;4RIY;5CUS;5O4O;5O7P;6KBI;6OP9;7BHE;7BHF;7D85;7MN5;7MN6;7MN8;8YRY;9I1Q,148098,"Monomer and homodimer. Heterodimer with each of the other ERBB receptors (Potential). Interacts with CSPG5 (PubMed:15358134). Interacts with GRB7 (PubMed:9516479). Interacts with MUC1 (PubMed:12939402). Interacts with MYOC (By similarity). Interacts with isoform 2 of PA2G4 (PubMed:11325528, PubMed:16832058). Found in a ternary complex with NRG1 and ITGAV:ITGB3 or ITGA6:ITGB4 (PubMed:20682778)",1342,ENSG00000065361
P23458,2.7.10.2,Tyrosine-protein kinase JAK1 (Janus kinase 1) (JAK-1),JAK1,Homo sapiens,3EYG;3EYH;4E4L;4E4N;4E5W;4EHZ;4EI4;4FK6;4GS0;4I5C;4IVB;4IVC;4IVD;4K6Z;4K77;4L00;4L01;5E1E;5HX8;5IXD;5IXI;5KHW;5KHX;5L04;5WO4;6AAH;6BBU;6C7Y;6DBN;6ELR;6GGH;6HZU;6N77;6N78;6N79;6N7A;6N7B;6N7C;6N7D;6RSB;6RSC;6RSD;6RSE;6RSH;6SM8;6SMB;6TPE;6TPF;6W8L;8EXJ,133277,Interacts with IFNGR1 (PubMed:7615558). Interacts with JAKMIP1 (PubMed:15277531). Interacts with SHB (PubMed:12200137). Interacts (via N-terminus) with IL2RB and IL10RA (via its cytoplasmic domain) (PubMed:12133952). Interacts with FER (By similarity),1154,ENSG00000162434
P23786,2.3.1.21,"Carnitine O-palmitoyltransferase 2, mitochondrial (Carnitine palmitoyltransferase II) (CPT II)",CPT2,Homo sapiens,,73777,,658,ENSG00000157184
P23921,1.17.4.1,Ribonucleoside-diphosphate reductase large subunit (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),RRM1,Homo sapiens,2WGH;3HNC;3HND;3HNE;3HNF;4X3V;5D1Y;5TUS;6AUI;6L3R;6L7L;6LKM,90070,Heterodimer of a large and a small subunit. Heterodimer with small subunit RRM2 or RRM2B. The heterodimer with RRM2 has higher catalytic activity than the heterodimer with RRM2B. Interacts with AHCYL1 which inhibits its activity,792,ENSG00000167325
P26439,1.1.1.145,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II) (3-beta-HSD II) (3-beta-HSD adrenal and gonadal type) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progestero,HSD3B2,Homo sapiens,,42052,,372,ENSG00000203859
P28340,2.7.7.7,DNA polymerase delta catalytic subunit (3'-5' exodeoxyribonuclease) (DNA polymerase subunit delta p125),POLD1,Homo sapiens,6S1M;6S1N;6S1O;6TNY;6TNZ;9EKB,123631,"Component of the tetrameric DNA polymerase delta complex (Pol-delta4), which consists of POLD1/p125, POLD2/p50, POLD3/p66/p68 and POLD4/p12, with POLD1 bearing both DNA polymerase and 3' to 5' proofreading exonuclease activities (PubMed:11595739, PubMed:12522211, PubMed:17317665, PubMed:22801543, PubMed:31449058, PubMed:31629014). Within Pol-delta4, directly interacts with POLD2 and POLD4 (PubMed:11328591, PubMed:12403614, PubMed:16510448). Following genotoxic stress by DNA-damaging agents, such",1107,ENSG00000062822
P29475,1.14.13.39,"Nitric oxide synthase 1 (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Nitric oxide synthase, brain) (bNOS) (Peptidyl-cysteine S-nitrosylase NOS1)",NOS1,Homo sapiens,4D1N;4UCH;4UH5;4UH6;4V3U;5ADF;5ADG;5ADI;5FVU;5FVV;5FVW;5FVX;5UO1;5UO2;5UO3;5UO4;5UO5;5UO6;5UO7;5VUV;5VUW;5VUX;5VUY;5VUZ;5VV0;5VV1;5VV2;5VV3;5VV4;5VV5;6AUY;6AUZ;6AV0;6AV1;6AV2;6AV3;6AV4;6AV5;6CIC;6CID;6NG1;6NG2;6NG4;6NG5;6NG6;6NG7;6NG8;6NGA;6NGB;6NGC,160970,Homodimer. Interacts with DLG4; the interaction possibly being prevented by the association between NOS1 and CAPON. Forms a ternary complex with CAPON and RASD1. Forms a ternary complex with CAPON and SYN1. Interacts with ZDHHC23. Interacts with NOSIP; which may impair its synaptic location (By similarity). Interacts with HTR4 (By similarity). Interacts with SLC6A4. Interacts with VAC14 (By similarity). Interacts (via N-terminal domain) with DLG4 (via N-terminal tandem pair of PDZ domains). Inte,1434,ENSG00000089250
P32754,1.13.11.27,4-hydroxyphenylpyruvate dioxygenase (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (N(6)-adenosine-methyltransferase HPD),HPD,Homo sapiens,3ISQ;5EC3;8IM2;8IM3,44964,Homodimer,393,ENSG00000158104
P36897,2.7.11.30,TGF-beta receptor type-1 (TGFR-1) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (Tbe,TGFBR1,Homo sapiens,1B6C;1IAS;1PY5;1RW8;1VJY;2L5S;2PJY;2WOT;2WOU;2X7O;3FAA;3GXL;3HMM;3KCF;3KFD;3TZM;4X0M;4X2F;4X2G;4X2J;4X2K;4X2N;5E8S;5E8T;5E8U;5E8W;5E8X;5E8Z;5E90;5FRI;5QIK;5QIL;5QIM;5QTZ;5QU0;5USQ;6B8Y;6MAC;8YHF;8YHL;9B9F;9F6X;9FK5;9J9D,55960,"Homodimer; in the endoplasmic reticulum but also at the cell membrane. Heterohexamer; TGFB1, TGFB2 and TGFB3 homodimeric ligands assemble a functional receptor composed of two TGFBR1 and TGFBR2 heterodimers to form a ligand-receptor heterohexamer. The respective affinity of TGBRB1 and TGFBR2 for the ligands may modulate the kinetics of assembly of the receptor and may explain the different biological activities of TGFB1, TGFB2 and TGFB3. Component of a complex composed of TSC22D1 (via N-terminus",503,ENSG00000106799
P37023,2.7.11.30,Activin receptor type-1-like (Activin receptor-like kinase 1) (ALK-1) (Serine/threonine-protein kinase receptor R3) (SKR3) (TGF-B superfamily receptor type I) (TSR-I),ACVRL1,Homo sapiens,2LCR;3MY0;4FAO;6SF1;6SF2;6SF3;7PPC,56124,Interacts with TSC22D1/TSC-22,503,ENSG00000139567
P47712,3.1.1.4,Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase ],PLA2G4A,Homo sapiens,1BCI;1CJY;1RLW,85239,Interacts with KAT5,749,ENSG00000116711
P48735,1.1.1.42,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",IDH2,Homo sapiens,4JA8;5GIS;5I95;5I96;5SVN;5SVO;6ADI;6UJ7;6UJ8;6UJ9;6VFZ,50909,Homodimer,452,ENSG00000182054
P49821,7.1.1.2,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (NDUFV1) (Complex I-51kD) (CI-51kD) (NADH dehydrogenase flavoprotein 1) (NADH-ubiquinone oxidoreductase 51 kDa subunit)",NDUFV1,Homo sapiens,5XTB;5XTD;5XTH;5XTI;9CWT;9I4I;9TI4,50817,"Core subunit of respiratory chain NADH dehydrogenase (Complex I) which is composed of 45 different subunits (PubMed:12611891, PubMed:28844695). This is a component of the flavoprotein-sulfur (FP) fragment of the enzyme (PubMed:12611891). Interacts with RAB5IF (PubMed:31536960)",464,ENSG00000167792
P49895,1.21.99.3,Type I iodothyronine deiodinase  (5DI) (DIOI) (Type 1 DI) (Type-I 5'-deiodinase),DIO1,Homo sapiens,,28924,Predominantly monomer. Can form homodimers but homodimerization is not essential for enzyme activity,249,ENSG00000211452
P50993,7.2.2.13,Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (Sodium pump subunit alpha-2),ATP1A2,Homo sapiens,,112265,"The sodium/potassium-transporting ATPase is composed of a catalytic alpha subunit, an auxiliary non-catalytic beta subunit and an additional regulatory subunit, called FXYD. There are four, three and seven isoforms for the alpha, beta and regulatory subunits, respectively, among which the expression of the alpha isoforms is tissue-specific (By similarity). Interacts with regulatory subunit FXYD1 (By similarity)",1020,ENSG00000018625
P51617,2.7.11.1,Interleukin-1 receptor-associated kinase 1 (IRAK-1),IRAK1,Homo sapiens,6BFN,76537,"Homodimer (By similarity). Forms a complex with TRAF6, PELI1, IRAK4 and MYD88 (PubMed:16951688). Direct binding of SMAD6 to PELI1 prevents complex formation and hence negatively regulates IL1R-TLR signaling and eventually NF-kappa-B-mediated gene expression (PubMed:16951688). The TRAF6-PELI1-IRAK4-MYD88 complex recruits MAP3K7/TAK1, TAB1 and TAB2 to mediate NF-kappa-B activation (PubMed:16951688). Interaction with MYD88 recruits IRAK1 to the stimulated receptor complex (PubMed:9430229). Interact",712,ENSG00000184216
P80404,2.6.1.19,"4-aminobutyrate aminotransferase, mitochondrial ((S)-3-amino-2-methylpropionate transaminase) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",ABAT,Homo sapiens,,56439,Homodimer; disulfide-linked,500,ENSG00000183044
Q02108,4.6.1.2,Guanylate cyclase soluble subunit alpha-1 (GCS-alpha-1) (Guanylate cyclase soluble subunit alpha-3) (GCS-alpha-3) (Soluble guanylate cyclase large subunit),GUCY1A1,Homo sapiens,3UVJ;4NI2;6JT0;6JT1;6JT2;7D9R;7D9S;7D9T;7D9U;8HBE;8HBF;8HBH,77452,"The active enzyme is formed by a heterodimer of an alpha and a beta subunit. Heterodimer with GUCY1B1 (PubMed:23505436, PubMed:24669844, PubMed:9742212)",690,ENSG00000164116
Q08209,3.1.3.16,Protein phosphatase 3 catalytic subunit alpha (CAM-PRP catalytic subunit) (Calcineurin A alpha) (Calmodulin-dependent calcineurin A subunit alpha isoform) (CNA alpha) (Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform),PPP3CA,Homo sapiens,1AUI;1M63;1MF8;2JOG;2JZI;2P6B;2R28;2W73;3LL8;4F0Z;4Q5U;5C1V;5SVE;6NUC;6NUF;6NUU;6UUQ;9B9G;9NXE;9NXF;9NXN,58688,"Forms a complex composed of a calmodulin-dependent catalytic subunit (also known as calcineurin A) and a regulatory Ca(2+)-binding subunit (also known as calcineurin B) (PubMed:12218175, PubMed:12357034, PubMed:17498738, PubMed:22343722, PubMed:23468591, PubMed:27974827, PubMed:8524402). There are three catalytic subunits, each encoded by a separate gene (PPP3CA, PPP3CB, and PPP3CC) and two regulatory subunits which are also encoded by separate genes (PPP3R1 and PPP3R2). In response to an increa",521,ENSG00000138814
